OBJECTID,Catchment,Comments,DATALOAD,Diameter,Estim_Year,Install_Year,Invert_DN,Invert_UP,Manhole_Down,Manhole_Up,Material,Pipe_Bursted,RefAuto,Relined,Sewer_ID,Sewer_Type,Slope,Total_Length,Original_Material,Original_Diameter,Original_Install_Year,SHAPE.len,_SEWERNAME
5423776,1,,20170309201124,200,1948,1948,0,0,1156,1152,PVC,No,10355,No,11521156,STM,0,99.05999756,PVC,200,1948,99.0551083993148,STORM
5423777,1,,20170309201124,250,1948,1948,0,0,1158,1156,PVC,No,10354,No,11561158,STM,0,63.38999939,PVC,250,1948,63.3897191979898,STORM
5423778,1,,20170309201124,250,1948,201009,0,0,1160,1158,CIP,No,10353,Yes,11581160,STM,0,30.47999954,PVC,250,1948,30.4746091033175,STORM
5423779,1,,20170309201124,200,1948,1948,0,0,1160,1162,PVC,No,10352,No,11621160,STM,0,99.05999756,PVC,200,1948,99.0551083993148,STORM
5423780,1, ,20170309201124,300,1948,1948,0,0,1042,1160,PVC,No,10351,No,11601042,STM,0,64.61000061,PVC,300,1948,64.6097082488383,STORM
5423781,1, ,20170309201124,200,1948,1948,19.43000031,0,1031,1028,PVC,No,10350,No,10281031,STM,0,49.06999969,PVC,200,1948,49.06753712996,STORM
5423782,1, ,20170309201124,200,1948,1948,21.70000076,0,1033,1034,PVC,No,10349,No,10341033,STM,0,74.66999817,PVC,200,1948,74.6614934219776,STORM
5423783,1,,20170309201124,200,1948,1948,19.42000008,21.68000031,1031,1033,PVC,No,10348,No,10331031,STM,0,30.47999954,PVC,200,1948,30.4846075913731,STORM
5423784,1,,20170309201124,200,1948,1948,8.42000008,19.40999985,1052,1031,PVC,No,10347,No,10311052,STM,0,93.56999969,PVC,200,1948,93.5721844353331,STORM
5423785,1, ,20170309201124,200,1948,1948,11.13000011,14.47999954,1050,1039,PVC,No,10346,No,10391050,STM,0,74.66999817,PVC,200,1948,74.6713171170832,STORM
5423786,1, ,20170309201124,200,1948,1948,8.46000004,11.10999966,1052,1050,PVC,No,10345,No,10501052,STM,0,30.47999954,PVC,200,1948,30.3546273243471,STORM
5423787,1,,20170309201124,250,1948,201009,4.63999987,8.36999989,1053,1052,HDPE,Yes,10344,No,10521053,STM,0,42.36000061,PVC,250,1948,42.3564646777797,STORM
5423788,1, ,20170309201124,250,1948,1948,3.94000006,4.63000011,1056,1053,PVC,No,10343,No,10531056,STM,0,18.67000008,PVC,250,1948,18.6729162157388,STORM
5423789,1,,20170309201124,200,1948,1948,3.49000001,3.78999996,1065,1056,PVC,No,10342,No,10561065,STM,0,53.20000076,PVC,200,1948,53.1984633236713,STORM
5423790,1,,20170309201124,200,1948,1948,0,3.47000003,1068,1065,PVC,No,10341,No,10651068,STM,0,15.5,PVC,200,1948,15.4969416337547,STORM
5423791,1, ,20170309201124,300,1948,1948,0,0,1070,1042,PVC,No,10340,No,10421070,STM,0,82.29000092,PVC,300,1948,82.29259991032,STORM
5423792,1, ,20170309201124,300,1948,1948,0,3.47000003,1068,1070,PVC,No,10339,No,10701068,STM,0,5.40999985,PVC,300,1948,5.4124393761039,STORM
5423793,1,,20170309201124,900,0,1983,0,0,1062,1059,CONC,No,10338,No,10591062,STM,0,39.5,CONC,900,1983,39.5050022149094,STORM
5423794,1, ,20170309201124,900,0,1983,0,0,1063,1062,CONC,No,10337,No,10621063,STM,0,35,CONC,900,1983,34.9967684222415,STORM
5423795,1, ,20170309201124,900,0,1983,0,0,1111,1063,CONC,No,10336,No,10631111,STM,0,6.4000001,CONC,900,1983,6.39778086526883,STORM
5423796,4,,20170309201124,500,1912,201306,0,0,4180,4164,CIP,No,10332,Yes,41644180,CMB,0,60.04000092,CONC,500,1912,60.0411941919879,COMBINED
5423797,4,,20170309201124,600,1912,201306,0,0,4181,4180,CIP,No,10331,Yes,41804181,CMB,0,50.90000153,CONC,600,1912,50.8979105661519,COMBINED
5423798,4,,20170309201124,600,1912,1912,0,0,4195,4181,CONC,No,10330,No,41814195,CMB,0,59.74000168,CONC,600,1912,59.7428656828579,COMBINED
5423799,4,,20170309201124,600,1912,1912,0,0,4001,4195,CONC,No,10329,No,41954001,CMB,0,48.75999832,CONC,600,1912,48.7533024522442,COMBINED
5423800,1, ,20170309201124,300,0,1973,0,0,5386,1111,PVC,No,10328,No,11115386,STM,0,15.23999977,PVC,300,1973,15.2442644952126,STORM
5423801,5, ,20170309201124,450,0,1973,0,0,5384,5386,CONC,No,10327,No,53865384,STM,0,96.01000214,CONC,450,1973,96.0149623756631,STORM
5423802,5,was 11115384; ID changed b/c new MH5696 was installed in 2012 (2012 sewer separation program; 146-49-PP.dwg; PP5),20170309201124,300,0,1973,0,0,5384,5696,PVC,No,10326,No,56965384,STM,0,15.84000015,PVC,300,1973,15.8345603033365,STORM
5423803,5, ,20170309201124,450,0,1973,0,0,5387,5384,CONC,No,10325,No,53845387,STM,0,110.44000244,CONC,450,1973,110.435587108504,STORM
