BLOCK,YEAR,NGBRHOOD,NUMBLDGS_HA,RESUNIT_HA,FLRSPCE_HA,TTLSPCES_HA
U-086,1873,6,,,,
U-086,1937,6,3.86100496653928,3.86100496653928,0.0608640368868777,3.86100496653928
W-102,1868,B,,,,
U-083,1865,7,,,,
Q-001,1935,1,5.18001153826475,5.18001153826475,0.0808360558405223,5.18001153826475
C-006,1920,5,8.46339521247777,8.46339521247777,0.11973842036898,
W-044,1910,3,,,,
Q-040,1915,A,6.55970018956823,5.62260016248706,0.102460212350959,
U-033,1871,5,,,,
C-016,1886,C,0.970655293977282,,0.0294337038566076,
Q-027,1902,A,,,,
Q-029,1866,1,,,,
S-002,1868,8,,,,
W-076,1869,3,,,,
Q-027,1933,A,,,,
U-023,1889,5,2.96435396808981,2.96435396808981,0.0351820148730989,
C-026,1889,D,52.3282209585922,,0.880070761086804,
S-085,1899,9,,,,
W-073,1918,3,3.12514543923728,3.12514543923728,0.0951574230045139,
U-093,1885,7,,,,
U-050,1871,C,,,,
U-084,1880,6,,,,
C-023,1911,D,13.9671539665206,15.0415504254837,0.498698966181904,1.61159468844469
W-040,1910,3,,,,
W-107,1906,3,2.05921239883349,2.05921239883349,0.0476258800122436,
C-028,1916,7,,,,
Q-003,1901,1,,,,
S-049,1879,9,,,,
U-073,1882,6,,,,
U-064,1897,7,2.8958610676622,4.05420549472708,0.085230028467626,
W-048,1873,3,,,,
W-018,1936,B,,,,
W-055,1885,3,,,,
S-071,1897,9,,,,
W-058,1914,3,0.823684959533396,0.823684959533396,0.013904193449648,
W-101,1911,B,1.12325364728288,1.12325364728288,0.0124180823976291,
S-041,1863,8,,,,
C-007,1900,B,14.5887527061837,15.3181903414928,0.152109683923521,
U-007,1926,4,9.9236345593342,9.9236345593342,0.195075177006848,3.0797486563451
W-006,1939,2,,,,
S-058,1870,9,,,,
Q-012,1935,1,0.451334224401861,0.451334224401861,0.00463749156152643,
Q-003,1887,1,,,,
U-095,1891,6,,,,
Q-020,1891,1,,,,
W-003,1920,2,,,,
W-047,1881,3,,,,
W-075,1873,3,,,,
W-077,1884,3,,,,
U-072,1911,6,5.78689834697699,5.4464925618607,0.0854310149736959,
Q-034,1914,1,3.79820961991107,3.79820961991107,0.037003783497677,0.42202329110123
