Y,X,Sign_Code,Sign_ID,Traffic_Direction,Meter_Type,Shared_With,Sign_Definition
49.211072,-122.934739,PM-03,0805A,NB,Double,0807A,2 HOUR METER
49.210746,-122.934594,PM-03,0806A,SB,Double,0808A,2 HOUR METER
49.211072,-122.934739,PM-03,0807A,NB,Double,0805A,2 HOUR METER
49.210746,-122.934594,PM-03,0808A,SB,Double,0806A,2 HOUR METER
49.211151,-122.934836,PM-03,0809A,NB,Single,,2 HOUR METER
49.21087,-122.934745,PM-03,0810A,SB,Single,,2 HOUR METER
49.211403,-122.935155,PM-03,0811A,NB,Double,0813A,2 HOUR METER
49.210977,-122.934882,PM-03,0812A,SB,Single,,2 HOUR METER
49.211403,-122.935155,PM-03,0813A,NB,Double,0811A,2 HOUR METER
49.211065,-122.934993,PM-03,0814A,SB,Double,0816A,2 HOUR METER
49.211491,-122.935264,PM-03,0815A,NB,Double,0817A,2 HOUR METER
49.211491,-122.935264,PM-03,0817A,NB,Double,0815A,2 HOUR METER
49.211273,-122.935254,PM-03,0818A,SB,Single,,2 HOUR METER
49.211583,-122.935377,PM-03,0819A,NB,Single,,2 HOUR METER
49.211351,-122.935352,PM-03,0820A,SB,Double,0822A,2 HOUR METER
49.211739,-122.935574,PM-03,0821A,NB,Double,0823A,2 HOUR METER
49.211351,-122.935352,PM-03,0822A,SB,Double,0820A,2 HOUR METER
49.211739,-122.935574,PM-03,0823A,NB,Double,0821A,2 HOUR METER
49.211443,-122.935468,PM-03,0824A,SB,Double,0826A,2 HOUR METER
49.211821,-122.935679,PM-03,0825A,NB,Double,0827A,2 HOUR METER
49.211443,-122.935468,PM-03,0826A,SB,Double,0824A,2 HOUR METER
49.211821,-122.935679,PM-03,0827A,NB,Double,0825A,2 HOUR METER
49.211525,-122.93557,PM-03,0828A,SB,Double,0830A,2 HOUR METER
49.211525,-122.93557,PM-03,0830A,SB,Double,0828A,2 HOUR METER
49.211614,-122.935682,PM-03,0832A,SB,Double,0834A,2 HOUR METER
49.211614,-122.935682,PM-03,0834A,SB,Double,0832A,2 HOUR METER
49.211691,-122.935779,PM-03,0836A,SB,Double,0838A,2 HOUR METER
49.211691,-122.935779,PM-03,0838A,SB,Double,0836A,2 HOUR METER
49.211786,-122.935898,PM-03,0840A,SB,Double,0842A,2 HOUR METER
49.211786,-122.935898,PM-03,0842A,SB,Double,0840A,2 HOUR METER
49.20271,-122.914029,PM-03,08A01,WB,Double,08A03,2 HOUR METER
49.202379,-122.914305,PM-03,08A02,EB,Double,08A04,2 HOUR METER
49.20271,-122.914029,PM-03,08A03,WB,Double,08A01,2 HOUR METER
49.202379,-122.914305,PM-03,08A04,EB,Double,08A02,2 HOUR METER
49.202675,-122.914092,PM-03,08A05,WB,Double,08A07,2 HOUR METER
49.202339,-122.914379,PM-03,08A06,EB,Single,,2 HOUR METER
49.202675,-122.914092,PM-03,08A07,WB,Double,08A05,2 HOUR METER
49.202022,-122.914963,PM-03,08A08,EB,Double,08A10,2 HOUR METER
49.202641,-122.914157,PM-03,08A09,WB,Double,08A11,2 HOUR METER
49.202022,-122.914963,PM-03,08A10,EB,Double,08A08,2 HOUR METER
49.202641,-122.914157,PM-03,08A11,WB,Double,08A09,2 HOUR METER
49.201846,-122.915324,PM-03,08A12,EB,Double,08A14,2 HOUR METER
49.202478,-122.91443,PM-03,08A13,WB,Single,,2 HOUR METER
49.201846,-122.915324,PM-03,08A14,EB,Double,08A12,2 HOUR METER
49.20244,-122.914502,PM-03,08A15,WB,Double,08A17,2 HOUR METER
49.201783,-122.915442,PM-03,08A16,EB,Double,08A18,2 HOUR METER
49.20244,-122.914502,PM-03,08A17,WB,Double,08A15,2 HOUR METER
49.201783,-122.915442,PM-03,08A18,EB,Double,08A16,2 HOUR METER
49.202355,-122.914659,PM-03,08A19,WB,Double,08A21,2 HOUR METER
49.202355,-122.914659,PM-03,08A21,WB,Double,08A19,2 HOUR METER
49.202158,-122.915025,PM-03,08A23,WB,Single,,2 HOUR METER
49.202017,-122.91528,PM-03,08A25,WB,Double,08A27,2 HOUR METER
49.202017,-122.91528,PM-03,08A27,WB,Double,08A25,2 HOUR METER
49.201981,-122.915348,PM-03,08A29,WB,Single,,2 HOUR METER
49.201938,-122.91306,PM-03,08F01,WB,Double,08F03,2 HOUR METER
49.20184,-122.912935,PM-03,08F02,EB,Double,08F04,2 HOUR METER
49.201938,-122.91306,PM-03,08F03,WB,Double,08F01,2 HOUR METER
49.20184,-122.912935,PM-03,08F04,EB,Double,08F02,2 HOUR METER
49.201662,-122.913561,PM-03,08F05,WB,Single,,2 HOUR METER
49.201476,-122.913913,PM-03,08F07,WB,Double,08F09,2 HOUR METER
49.201476,-122.913913,PM-03,08F09,WB,Double,08F07,2 HOUR METER
49.201361,-122.914132,PM-03,08F11,WB,Single,,2 HOUR METER
49.201205,-122.91442,PM-03,08F15,WB,Double,08F17,2 HOUR METER
49.201205,-122.91442,PM-03,08F17,WB,Double,08F15,2 HOUR METER
49.201128,-122.914563,PM-03,08F19,WB,Double,08F21,2 HOUR METER
49.201128,-122.914563,PM-03,08F21,WB,Double,08F19,2 HOUR METER
49.201061,-122.914685,PM-03,08F23,WB,Single,,2 HOUR METER
49.21128,-122.920607,PM-03,08N10,SB,Double,05N08,2 HOUR METER
49.212463,-122.936484,PM-01,0901A,NB,Double,0903A,15 MINUTE METER
49.211946,-122.936096,PM-03,0902A,SB,Double,0904A,2 HOUR METER
49.212463,-122.936484,PM-01,0903A,NB,Double,0901A,15 MINUTE METER
49.211946,-122.936096,PM-03,0904A,SB,Double,0902A,2 HOUR METER
49.212546,-122.936589,PM-03,0905A,NB,Double,0907A,2 HOUR METER
49.212077,-122.936261,PM-03,0906A,SB,Single,,2 HOUR METER
49.212546,-122.936589,PM-03,0907A,NB,Double,0905A,2 HOUR METER
49.21216,-122.936364,PM-03,0908A,SB,Double,0910A,2 HOUR METER
